3,36
4,35
5,29
6,27
7,34
8,28
9,30
10,35
11,34
12,27
13,30
14,45
15,36
16,35
17,43
18,46
19,36
20,35
21,30
22,34
23,38
24,34
25,46
26,33
27,26
28,33
29,19
30,37
31,27
32,28
33,32
34,30
35,32
36,35
37,24
38,28
39,35
40,32
41,34
42,36
43,38
44,41
45,30
46,36
47,38
48,33
49,35
50,40
51,33
52,22
53,29
54,40
55,37
56,30
57,28
58,24
59,36
60,38
61,25
62,32
63,38
64,32
65,37
66,36
67,34
68,35
69,32
70,35
71,35
72,34
73,36
74,33
75,30
76,31
77,34
78,36
79,26
80,44
81,38
82,47
83,30
84,32
85,30
86,37
87,36
88,33
89,28
90,44
91,27
92,39
93,37
94,35
95,30
96,32
97,29
98,32
99,32
100,39
101,28
102,34
103,35
104,38
105,39
106,32
107,39
108,32
109,31
110,38
111,35
112,33
113,27
114,36
115,41
116,34
117,35
118,31
119,34
120,39
121,38
122,31
123,29
124,28
125,26
126,20
127,41
128,19
129,36
130,28
131,32
132,23
133,28
134,37
135,34
136,40
137,29
138,27
139,27
140,34
141,32
142,29
143,34
144,31
145,26
146,41
147,25
148,43
149,38
150,31
151,31
152,29
153,35
154,37
155,20
156,28
157,34
158,34
159,33
160,38
161,33
162,24
163,35
164,33
165,34
166,26
167,31
168,33
169,25
170,31
171,19
172,33
173,26
174,22
175,28
176,36
177,41
178,35
179,36
180,36
181,42
182,31
183,31
184,38
185,27
186,39
187,29
188,31
189,24
190,26
191,35
192,27
193,31
194,39
195,27
196,29
197,22
198,35
199,25
200,28
201,25
202,37
203,32
204,33
205,38
206,32
207,33
208,34
209,29
210,43
211,27
212,20
213,34
214,34
215,31
216,30
217,42
218,30
219,33
220,32
221,32
222,32
223,38
224,36
225,30
226,32
227,25
228,33
229,23
230,38
231,20
232,38
233,34
234,25
235,33
236,38
237,32
238,35
239,26
240,34
241,28
242,47
243,46
244,24
245,34
246,29
247,39
248,28
249,41
250,36
251,40
252,33
253,39
254,33
255,32
256,36
257,26
258,42
259,37
260,35
261,29
262,28
263,35
264,30
265,31
266,39
267,21
268,33
269,26
270,30
271,31
272,29
273,28
274,34
275,26
276,31
277,32
278,33
279,34
280,39
281,27
282,28
283,37
284,38
285,38
286,29
287,31
288,29
289,27
290,24
291,32
292,24
293,29
294,29
295,28
296,33
297,38
298,38
299,24
300,25
301,31
302,34
303,32
304,41
305,29
306,27
307,30
308,29
309,28
310,40
311,34
312,44
313,31
314,36
315,28
316,37
317,32
318,28
319,30
320,37
321,26
322,30
323,31
324,36
325,26
326,33
327,19
328,30
329,28
330,34
331,29
332,31
333,33
334,23
335,32
336,26
337,30
338,35
339,34
340,32
341,14
342,35
343,37
344,30
345,41
346,35
347,31
348,30
349,24
350,22
351,35
352,20
353,26
354,25
355,38
356,34
357,29
358,30
359,37
360,32
361,31
362,31
363,35
364,37
365,23
366,29
367,31
368,34
369,38
370,34
371,25
372,34
373,26
374,30
375,23
376,32
377,39
378,21
379,35
380,44
381,28
382,26
383,36
384,34
385,22
386,36
387,29
388,27
389,46
390,16
391,31
392,29
393,32
394,31
395,38
396,35
397,34
398,37
399,32
400,31
401,21
402,29
403,25
